State Postal,,County Number,county_id,county_name,state,total_votes,obama_votes,romney_votes,percent_obama2,percent_romney2,percent_obama,percent_romney
AK,Aleutians East Borough (AK),51514,51514,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Aleutians West Census Area (AK),69192,69192,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Anchorage Borough (AK),71094,71094,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Bethel Census Area (AK),41722,41722,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Bristol Bay Borough (AK),66178,66178,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Denali Borough (AK),66325,66325,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Dillingham Census Area (AK),47498,47498,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Fairbanks North Star Borough (AK),63979,63979,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Haines Borough (AK),49890,49890,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Hoonah-Angoon Census Area (AK),40371,40371,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Juneau Borough (AK),76967,76967,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Kenai Peninsula Borough (AK),60431,60431,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Ketchikan Gateway Borough (AK),61296,61296,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Kodiak Island Borough (AK),61498,61498,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Lake and Peninsula Borough (AK),44657,44657,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Matanuska-Susitna Borough (AK),68109,68109,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Nome Census Area (AK),47022,47022,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,North Slope Borough (AK),69138,69138,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Northwest Arctic Borough (AK),52945,52945,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Petersburg Census Area (AK),57728,57728,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Prince of Wales-Hyder Census Area (AK),44721,44721,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Sitka Borough (AK),61771,61771,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Skagway Municipality (AK),65379,65379,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Southeast Fairbanks Census Area (AK),56456,56456,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Valdez-Cordova Census Area (AK),65098,65098,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Wade Hampton Census Area (AK),32860,32860,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Wrangell City and Borough (AK),47373,47373,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Yakutat Borough (AK),47565,47565,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,Yukon-Koyukuk Census Area (AK),33998,33998,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,AK Alaska,1,0,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AK,AK Alaska,2001,2000,Alaska,AK Alaska,220596,91696,121234,0.43,0.569360823,43,57
AL,AL Alabama,1,0,Alabama,AL Alabama,2064699,793620,1252453,0.39,0.612125276,39,61
AL,AL Autauga,1001,1001,Autauga,AL Autauga,23909,6354,17366,0.27,0.732124789,27,73
AL,AL Baldwin,1002,1003,Baldwin,AL Baldwin,84988,18329,65772,0.22,0.782059666,22,78
AL,AL Barbour,1003,1005,Barbour,AL Barbour,11459,5873,5539,0.51,0.485366281,51,49
AL,AL Bibb,1004,1007,Bibb,AL Bibb,8391,2200,6131,0.26,0.735926059,26,74
AL,AL Blount,1005,1009,Blount,AL Blount,23980,2961,20741,0.12,0.875073833,12,88
AL,AL Bullock,1006,1011,Bullock,AL Bullock,5318,4058,1250,0.76,0.235493595,76,24
AL,AL Butler,1007,1013,Butler,AL Butler,9483,4367,5081,0.46,0.537785775,46,54
AL,AL Calhoun,1008,1015,Calhoun,AL Calhoun,46240,15500,30272,0.34,0.661365027,34,66
AL,AL Chambers,1009,1017,Chambers,AL Chambers,14562,6853,7596,0.47,0.525711122,47,53
AL,AL Cherokee,1010,1019,Cherokee,AL Cherokee,9761,2126,7494,0.22,0.779002079,22,78
AL,AL Chilton,1011,1021,Chilton,AL Chilton,17434,3391,13910,0.2,0.803999769,20,80
AL,AL Choctaw,1012,1023,Choctaw,AL Choctaw,7965,3785,4150,0.48,0.52299937,48,52
AL,AL Clarke,1013,1025,Clarke,AL Clarke,13827,6317,7463,0.46,0.541582003,46,54
AL,AL Clay,1014,1027,Clay,AL Clay,6640,1770,4802,0.27,0.730675593,27,73
AL,AL Cleburne,1015,1029,Cleburne,AL Cleburne,6302,971,5269,0.16,0.844391026,16,84
AL,AL Coffee,1016,1031,Coffee,AL Coffee,19715,4899,14638,0.25,0.749245022,25,75
AL,AL Colbert,1017,1033,Colbert,AL Colbert,23374,9160,13931,0.4,0.603308648,40,60
AL,AL Conecuh,1018,1035,Conecuh,AL Conecuh,7013,3551,3434,0.51,0.491624911,51,49
