county_name,total,under1,under10k,under25k,under50k,under75k,under100k,under200k,over200k,fipscode
ALASKA,359060,3460,55470,65920,80670,51390,35660,53190,13300,2000
Aleutians East Borough,1060,0,160,250,370,120,80,80,0,2013
Aleutians West Census Area,2380,0,220,580,690,350,190,300,50,2016
Anchorage Municipality,153550,1260,21280,27390,35730,21720,14780,23520,7870,
Bethel Census Area,7000,50,2230,1660,1350,770,380,490,70,2050
Bristol Bay Borough,540,0,100,90,110,90,60,90,0,2060
Denali Borough,1140,0,140,190,290,170,140,190,20,2068
Dillingham Census Area,2310,0,700,500,440,290,160,180,40,2070
Fairbanks North Star Borough,47580,430,6140,9310,11070,7090,5020,7210,1310,2090
Haines Borough,1370,30,240,310,330,180,130,120,30,2100
Hoonah-Angoon Census Area,1100,30,250,250,260,140,70,100,0,2105
Juneau City and Borough,17660,160,2530,2640,3820,2680,2090,3140,600,
Kenai Peninsula Borough,29200,500,4710,5240,5940,4230,3070,4520,990,2122
Ketchikan Gateway Borough,7300,100,1140,1430,1640,1120,730,940,200,2130
Kodiak Island Borough,7180,90,980,1460,1880,1060,680,860,170,2150
Lake and Peninsula Borough,770,0,190,170,180,100,60,70,0,2164
Matanuska-Susitna Borough,43290,450,6740,7110,8690,6420,5120,7430,1330,2170
Nome Census Area,3900,30,900,930,870,520,230,370,50,2180
North Slope Borough,3420,0,830,560,720,530,270,440,70,2185
Northwest Arctic Borough,2720,0,650,560,630,330,200,310,40,2188
Petersburg Census Area,1990,40,310,350,460,310,200,260,60,2195
Prince of Wales-Hyder Census Area,2410,40,490,490,550,360,210,230,40,2198
Sitka City and Borough,4690,80,690,830,1180,720,450,610,130,
Skagway Municipality,750,0,80,200,180,110,80,80,20,2230
Southeast Fairbanks Census Area,3320,70,520,640,740,490,360,470,30,2240
Valdez-Cordova Census Area,5140,90,840,920,1070,750,520,780,170,2261
Wade Hampton Census Area,3100,0,1310,860,550,220,90,70,0,2270
Wrangell City and Borough,1110,0,210,230,270,160,110,130,0,2275
Yakutat City and Borough,290,0,60,60,80,40,20,30,0,
Yukon-Koyukuk Census Area,2830,30,860,700,590,300,170,180,0,2290
ALABAMA,2048400,25430,309460,561010,490920,258730,162850,190960,49040,1000
Autauga County,23690,210,3350,5740,5390,3390,2500,2790,320,1001
Baldwin County,89970,1730,13480,21660,20080,11980,7940,10150,2950,13009
Barbour County,10070,150,1750,3360,2440,1010,630,640,90,54001
Bibb County,8000,70,1150,2210,2100,1170,660,580,60,13021
Blount County,22010,280,3270,5340,5620,3490,2110,1670,230,47009
Bullock County,3950,60,610,1650,1000,320,150,140,20,1011
Butler County,8190,80,1350,2680,2190,850,530,430,80,42019
Calhoun County,47890,470,7680,13110,12480,6670,3650,3270,560,54013
Chambers County,14850,120,2300,5320,4180,1530,750,560,90,48071
Cherokee County,9170,160,1480,2600,2230,1220,750,630,100,48073
Chilton County,17460,210,2560,4930,4560,2360,1410,1280,150,1021
Choctaw County,5240,70,770,1360,1260,770,520,420,70,40023
Clarke County,10310,120,1530,3040,2430,1310,870,890,120,51043
Clay County,5560,100,880,1720,1460,670,400,280,50,54015
Cleburne County,5680,90,840,1460,1520,840,510,380,40,5023
Coffee County,20840,270,3130,5180,4760,2850,1900,2410,340,47031
Colbert County,23700,250,3730,6460,5640,3220,2020,2030,350,1033
Conecuh County,5020,90,870,1650,1270,580,270,250,40,1035
Coosa County,4050,40,610,1200,1170,540,260,200,30,1037
Covington County,15100,260,2500,4440,3670,1760,1060,1130,280,28031
Crenshaw County,5810,100,910,1640,1680,670,430,310,70,1041
Cullman County,33050,450,5240,8510,8690,4610,2660,2380,510,1043
Dale County,20300,270,3010,5760,5170,2760,1680,1480,170,1045
Dallas County,16830,200,2460,6760,4030,1590,810,800,180,48113
DeKalb County,26620,450,4430,8390,7090,3190,1590,1240,240,47041
Elmore County,34630,380,4610,8220,8390,5090,3570,3830,540,16039
Escambia County,14380,150,2190,4450,3700,1750,1010,950,180,12033
Etowah County,42010,480,6900,12630,10270,5340,3130,2690,570,1055
Fayette County,6320,100,1010,1730,1640,840,510,440,50,54019
Franklin County,12350,160,1980,3880,3400,1470,730,600,130,53021
Geneva County,10280,220,1690,3100,2550,1250,740,630,100,1061
Greene County,3480,70,540,1380,830,310,180,150,20,51079
Hale County,6410,80,900,2110,1710,790,460,320,40,48189
Henry County,7050,120,1050,1960,1770,950,530,580,90,51089
Houston County,45000,670,7350,13210,10440,5090,3300,3810,1130,48225
Jackson County,21330,260,3420,5860,5640,2880,1610,1410,250,55053
Jefferson County,296530,3380,42950,79820,72400,35630,21530,29260,11560,55055
Lamar County,5360,70,860,1450,1410,770,480,300,20,48277
Lauderdale County,38170,430,6510,9970,8640,5120,3220,3500,780,47097
Lawrence County,13550,170,2060,3630,3400,1910,1210,1080,90,47099
Lee County,60790,670,9580,15960,14480,7630,4910,6060,1500,51105
Limestone County,37130,350,5000,8560,8480,5100,3740,4980,920,48293
Lowndes County,4990,70,700,1880,1350,490,230,240,30,28087
Macon County,8190,90,1430,3040,2160,760,370,290,50,47111
Madison County,161270,1790,23520,35300,32390,20590,15610,25570,6500,51113
Marengo County,8540,180,1290,2680,1940,970,670,700,110,1091
Marion County,10820,170,1790,3260,2750,1380,790,590,90,54049
Marshall County,39400,530,6500,12100,9760,4550,2730,2620,610,54051
Mobile County,177680,2040,27290,55400,41330,21500,12840,13600,3680,1097
Monroe County,8420,160,1260,2680,1960,1010,600,660,90,55081
Montgomery County,101400,1150,14830,31240,25180,11540,6610,8210,2640,51121
Morgan County,52240,510,7850,14060,12380,6870,4440,5160,970,54065
Perry County,3900,60,590,1650,870,420,180,130,0,47135
Pickens County,7530,110,1100,2490,1860,960,520,430,60,45077
Pike County,12660,170,2160,3980,3030,1410,860,870,180,42103
Randolph County,8850,140,1340,2640,2510,1060,570,500,90,54083
Russell County,25100,250,3670,8650,7360,2710,1330,1010,120,51167
Shelby County,91930,1200,12590,16050,19040,12950,9760,15350,4990,48419
St. Clair County,35010,450,4840,7820,8770,5500,3630,3540,460,29185
Sumter County,5250,100,920,1910,1290,510,260,220,40,45085
Talladega County,32900,320,5120,9560,8810,4290,2400,2080,320,1121
Tallapoosa County,17570,220,2750,5330,4630,1990,1180,1150,320,1123
Tuscaloosa County,80840,910,12460,21890,19310,9910,6630,7720,2010,1125
Walker County,25460,240,3880,7040,6230,3530,2170,2030,340,48471
Washington County,6600,60,890,1780,1520,980,680,610,80,55131
Wilcox County,4810,330,680,1820,970,460,280,230,40,13315
Winston County,9170,160,1560,2710,2300,1180,580,560,120,28159
ARKANSAS,1220160,16430,196680,328890,300060,156220,92670,100830,28380,5000
Arkansas County,8110,140,1250,2130,2260,1020,540,560,210,5001
Ashley County,8470,90,1360,2450,2020,1130,710,590,120,5003
Baxter County,17680,370,3050,4940,4340,2330,1260,1060,330,5005
Benton County,103120,1250,14010,22670,23840,14250,9300,12640,5160,53005
Boone County,15330,280,2600,4120,3970,2060,1130,940,230,54005
Bradley County,4330,50,700,1400,1130,520,270,220,40,47011
Calhoun County,1880,20,250,490,530,290,160,120,20,54013
Carroll County,12040,370,2160,3850,3000,1320,610,600,130,51035
Chicot County,4220,90,700,1510,1030,350,200,270,70,5017
Clark County,8340,100,1460,2380,2070,1040,630,570,90,55019
Clay County,5990,120,1040,1590,1670,840,370,290,70,54015
Cleburne County,10780,220,1810,2710,2560,1560,910,800,210,5023
Cleveland County,3210,60,430,800,830,490,290,280,30,40027
Columbia County,9150,110,1540,2540,2140,1130,690,830,170,55021
Conway County,8460,100,1400,2190,2080,1180,720,660,130,5029
Craighead County,41010,470,6870,11040,9970,5180,3000,3310,1170,5031
Crawford County,23750,290,3890,6400,5910,3400,1890,1700,270,55023
Crittenden County,21330,210,3720,7040,5220,2170,1300,1350,320,21055
Cross County,7250,100,1220,2130,1810,890,530,470,100,5037
Dallas County,2960,40,480,930,840,330,170,140,30,48113
Desha County,5050,80,820,1660,1300,490,300,320,80,5041
Drew County,7150,90,1180,2030,1700,910,570,570,100,5043
Faulkner County,48420,500,8030,11450,10790,6750,4620,5230,1050,5045
Franklin County,6830,110,1210,1800,1670,940,560,470,70,53021
Fulton County,4310,140,800,1250,1060,560,280,190,30,42057
Garland County,43370,710,7530,12400,10020,5310,3170,3330,900,5051
Grant County,7330,90,1010,1620,1940,1140,730,730,70,55043
Greene County,17060,230,2830,4290,4660,2390,1360,1060,240,51079
Hempstead County,8620,160,1460,2890,2230,930,520,380,50,5057
Hot Spring County,12520,160,1950,3500,3350,1730,970,770,90,5059
Howard County,5550,110,940,1900,1320,630,320,270,60,48227
Independence County,14560,220,2200,4120,3810,1900,1100,970,240,5063
Izard County,4670,110,880,1300,1170,600,310,250,50,5065
Jackson County,5940,100,1100,1720,1500,720,380,330,90,55053
Jefferson County,30620,270,5030,9400,8230,3470,1870,2010,340,55055
Johnson County,9690,160,1680,3000,2470,1220,600,480,80,56019
Lafayette County,2630,60,440,840,640,320,160,140,30,55065
Lawrence County,6180,110,1080,1810,1640,800,390,300,50,47099
Lee County,3120,50,600,1100,760,260,130,150,70,51105
Lincoln County,4130,70,630,1120,1130,550,320,270,40,56023
Little River County,4980,60,770,1400,1280,690,420,330,30,5081
Logan County,8490,150,1470,2380,2210,1170,580,450,80,54045
Lonoke County,29500,270,4220,6490,7350,4520,3070,3130,450,5085
Madison County,6190,180,1080,1660,1680,800,420,310,60,51113
Marion County,6340,140,1110,2010,1580,810,370,280,40,54049
Miller County,17600,210,2970,5120,4300,2200,1350,1220,230,29131
Mississippi County,17790,160,3270,5430,4500,1930,1120,1160,220,29133
Monroe County,3160,50,550,1000,880,300,170,170,40,55081
Montgomery County,3160,80,590,910,770,440,180,160,30,51121
Nevada County,3430,50,550,1050,930,460,210,150,30,6057
Newton County,2940,70,600,860,770,370,150,100,20,48351
Ouachita County,9840,70,1600,2860,2610,1260,650,660,130,5103
Perry County,4070,70,660,1050,1020,590,340,300,40,47135
Phillips County,7670,110,1360,2920,1850,670,320,330,110,30071
Pike County,4130,110,730,1170,1070,550,260,210,30,42103
Poinsett County,8950,100,1550,2680,2470,1090,510,430,120,5111
Polk County,7710,170,1450,2310,1930,970,440,360,80,55095
Pope County,25140,300,4300,6790,6000,3280,1940,2050,480,27121
Prairie County,3340,60,510,850,940,450,240,230,60,30079
Pulaski County,182460,1990,27660,46880,45040,22490,13470,18140,6790,51155
Randolph County,6660,150,1220,2020,1620,820,410,340,80,54083
Saline County,49390,440,6640,10310,11840,7670,5490,6060,940,31151
Scott County,4050,100,750,1400,960,450,220,150,20,51169
Searcy County,2970,110,600,1010,690,310,140,110,0,5129
Sebastian County,52780,610,8830,15370,12350,6530,3870,3950,1270,5131
Sevier County,6220,110,960,2010,1730,700,390,280,40,49041
Sharp County,6300,130,1200,1930,1610,740,410,230,50,5135
St. Francis County,9310,110,1690,3520,2250,850,390,410,90,5123
Stone County,4670,160,990,1340,1090,590,250,210,40,29209
Union County,17580,140,2860,4710,4160,2270,1410,1520,510,47173
Van Buren County,6610,120,1110,1840,1540,940,470,490,100,47175
Washington County,90300,1340,14700,23900,22040,10700,6410,8250,2960,55131
White County,30440,370,4980,7730,7430,4280,2640,2520,490,47185
Woodruff County,2810,50,540,850,730,320,140,140,40,5147
Yell County,8230,120,1300,2640,2260,960,470,410,70,5149
ARIZONA,2812790,47470,386000,703860,704860,367170,230560,288000,84870,4000
Apache County,23940,240,4560,7160,6550,2800,1370,1140,120,4001
Cochise County,52160,930,7890,13840,12030,6990,4820,5070,590,4003
Coconino County,57780,940,9590,14640,13700,7270,4650,5680,1310,4005
Gila County,21420,490,3500,5650,5030,3090,1730,1630,300,4007
Graham County,11500,130,1690,2650,2710,1960,1210,1000,150,37075
Greenlee County,3470,60,340,550,730,840,520,390,40,4011
La Paz County,6480,170,1080,2130,1780,660,330,290,40,4012
Maricopa County,1754580,29170,227600,415670,443760,230310,146450,197250,64370,4013
Mohave County,78780,1990,12930,23690,19840,9370,5220,4810,930,4015
Navajo County,37750,630,6990,10620,9470,4590,2560,2560,330,4017
Pima County,431120,6560,60630,114250,104970,54990,35300,42570,11850,4019
Pinal County,131660,2010,16850,30960,35640,20810,12420,11440,1530,4021
Santa Cruz County,19600,430,3400,6910,4670,1710,940,1180,360,6087
Yavapai County,99230,2930,15590,24600,23740,13270,8260,8700,2140,4025
Yuma County,83430,820,13370,30540,20260,8510,4780,4320,830,8125
Alameda County,745130,12370,91860,138410,159600,101020,66990,119190,55690,6001
Alpine County,450,0,90,100,100,70,40,50,0,6003
Amador County,16140,460,2160,3330,3660,2380,1660,2100,390,6005
Butte County,89390,1830,14730,22170,21070,11450,7480,8710,1950,46019
CALIFORNIA,17170050,307270,2395000,4016320,3916800,2174490,1385880,2103030,871260,6000
Calaveras County,19630,610,2790,4000,4260,2930,2100,2460,480,6009
